"","Timepoint","Mouse"
"MOUSE_CELL_4529","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4532","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4537","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4541","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4558","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4570","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4603","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4623","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4624","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4638","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4639","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4645","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4648","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4656","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4658","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4661","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4665","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4669","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4675","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4676","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4680","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4687","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4688","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4709","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4711","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4714","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4735","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4744","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4751","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4753","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4766","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4777","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4799","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4812","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4813","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4815","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4816","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4825","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4839","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4844","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4846","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4861","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4869","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4871","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4874","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4893","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4894","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4896","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4901","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4905","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4915","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4936","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4953","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4956","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4969","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4974","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4977","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4989","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4990","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4997","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5011","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5013","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5021","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5026","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5027","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5050","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5054","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5061","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5070","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5073","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5077","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5079","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5083","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5084","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5088","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5091","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5092","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5097","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5106","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5113","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5122","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5162","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5196","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5197","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5200","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5207","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5219","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5222","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5235","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5239","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5250","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5252","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5268","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5287","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5289","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5293","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5295","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5300","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5303","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5316","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5338","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5339","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5341","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5342","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5346","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5349","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5357","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5358","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5360","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5365","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5366","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5384","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5388","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5390","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5395","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5400","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5406","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5408","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5411","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5415","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5417","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5418","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5419","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5425","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5426","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5439","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5440","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5441","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5446","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5455","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5458","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5473","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5476","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5482","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5488","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5489","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5492","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5499","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5521","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5528","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5529","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5533","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5557","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5559","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5562","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5569","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5573","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5575","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5576","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5596","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5608","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5613","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5620","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5624","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5628","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5629","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5636","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5666","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5680","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5681","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5682","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5695","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5710","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5715","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5725","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5751","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5755","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5757","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5774","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5775","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5787","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5816","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5819","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5829","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5831","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5833","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5838","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5842","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5858","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5866","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5877","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5882","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5889","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5890","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5895","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5898","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5908","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5911","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5915","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5923","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5924","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5937","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5939","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5941","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5951","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5956","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5963","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5965","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5970","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5974","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5976","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5979","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5988","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5993","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5994","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_5998","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6001","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6006","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6007","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6009","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6014","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6015","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6024","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6037","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6045","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6049","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6053","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6060","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6062","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6069","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6075","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6077","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6078","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6079","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6082","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6091","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6105","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6108","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6114","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6119","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6130","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6132","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6137","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6140","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6154","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_6169","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6170","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6171","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6172","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6173","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6174","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6175","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6176","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6177","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6178","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6179","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6180","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6181","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6182","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6183","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6184","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6185","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6186","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6187","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6188","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6189","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6190","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6191","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6192","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6193","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6194","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6195","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6196","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6197","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6198","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6199","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6200","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6201","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6202","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6203","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6204","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6205","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6206","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6207","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6208","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6209","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6210","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6211","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6212","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6213","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6214","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6215","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6216","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6217","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6218","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6219","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6220","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6221","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6222","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6223","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6224","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6225","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6226","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6227","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6228","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6229","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6230","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6231","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6232","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6233","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6234","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6235","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6236","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6237","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6238","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6239","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6240","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6241","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6242","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6243","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6244","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6245","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6246","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6247","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6248","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6249","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6250","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6251","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6252","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6253","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6254","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6255","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6256","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6257","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6258","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6259","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6260","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6261","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6262","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6263","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6264","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6265","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6266","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6267","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6268","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6269","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6270","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6271","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6272","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6273","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6274","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6275","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6276","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6277","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6278","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6279","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6280","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6281","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6282","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6283","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6284","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6285","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6286","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6287","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6288","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6289","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6290","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6291","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6292","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6293","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6294","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6295","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6296","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6297","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6298","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6299","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6300","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6301","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6302","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6303","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6304","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6305","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6306","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6307","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6308","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6309","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6310","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6311","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6312","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6313","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6314","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6315","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6316","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6317","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6318","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6319","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6320","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6321","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6322","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6323","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6324","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6325","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6326","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6327","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6328","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6329","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6330","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6331","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6332","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6333","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6334","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6335","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6336","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6337","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6338","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6339","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6340","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6341","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6342","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6343","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6344","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6345","1wkpi","1wkpi_mouse_id_69"
"MOUSE_CELL_6346","1wkpi","1wkpi_mouse_id_69"
