"","Timepoint","Mouse"
"MOUSE_CELL_954","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_956","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_959","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_965","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_967","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_969","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_970","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_973","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_975","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_980","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_986","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_988","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_990","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_997","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1000","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1003","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1005","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1008","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1009","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1011","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1014","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1017","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1019","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1021","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1022","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1024","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1025","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1029","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1033","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1037","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1038","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1039","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1049","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1051","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1055","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1057","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1058","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1063","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1066","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1069","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1071","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1077","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1084","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1086","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1089","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1090","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1092","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1093","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1095","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1099","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_1101","24hpi","24hpi_mouse_id_59"
