gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
PRDX12,3.35204833454007E-103,0.576186432450962,0.595,0.261,1.59849128929213E-98,5
BHLHE40,2.72313251670973E-103,2.62555123320715,0.296,0.055,1.29858020324337E-98,7
CAPZB,2.1718435909184E-103,1.25725622511613,0.365,0.155,1.03568705320126E-98,3
CD91,2.16308078571842E-103,0.860451928458068,0.352,0.117,1.03150833428554E-98,5
SNTN,1.83977824803954E-103,0.349909885481488,0.286,0.098,8.77335053142616E-99,1
GSTK1,1.82656633656094E-103,1.03416892566968,0.373,0.135,8.71034688915816E-99,5
RPL311,8.56441516925058E-104,0.381378576153296,0.876,0.45,4.08411266176052E-99,4
PNN,7.81385142345737E-104,0.893463373949684,0.401,0.187,3.72619132830412E-99,1
FKBP2,7.79157388888336E-104,1.00454565216351,0.307,0.095,3.71556784039181E-99,5
CCDC80,5.77620797988055E-104,0.716653177068635,0.289,0.083,2.75450029936564E-99,5
FNBP1,4.38538405504893E-104,1.36196740026633,0.374,0.161,2.09125809433118E-99,3
RPS201,4.34841786941654E-104,0.399265884765847,0.912,0.485,2.07363002938867E-99,4
SLC44A41,3.23851475106519E-104,1.88115923170326,0.3,0.124,1.54435052934046E-99,2
NANS,3.18331155294707E-104,1.14196361120544,0.257,0.071,1.51802578025387E-99,5
TLN11,2.47882113690091E-104,1.03217887717652,0.304,0.096,1.18207543555394E-99,4
CTSC,1.75883103030479E-104,0.99761079257186,0.268,0.075,8.38733753421447E-100,5
HLA-E,1.73365238748241E-104,0.858274772867107,0.661,0.395,8.26726814018739E-100,3
CST3,1.73294237628986E-104,2.83059638472973,0.318,0.064,8.26388230981344E-100,7
MOB1A,1.10862613134539E-104,1.66601232346598,0.252,0.083,5.28670543254676E-100,3
TMC51,8.60094452561883E-105,1.32026573324952,0.465,0.254,4.10153241593185E-100,2
ATAD2,6.76267630157674E-105,3.55968026280019,0.363,0.027,3.2249174479329E-100,8
RBM5,5.01690893787659E-105,1.03255175626267,0.338,0.143,2.39241336520521E-100,1
IQCG1,5.00552635121733E-105,1.95270716404015,0.273,0.103,2.38698535110501E-100,2
MT-ND6,4.03725483593898E-105,0.858824493415209,0.474,0.239,1.92524571361422E-100,1
STK4,3.12945153897441E-105,1.34002097491003,0.309,0.114,1.49234155539073E-100,3
KDM5A,2.35320965467712E-105,1.00827486344921,0.368,0.134,1.12217508802588E-100,4
HLA-DRB5,2.26445439169934E-105,0.973123085366943,0.335,0.126,1.07985036576966E-100,3
TSPAN3,1.23629975962676E-105,1.97861087200301,0.26,0.095,5.89554266373211E-101,2
NOLC1,9.35898104674639E-106,1.15793570945296,0.283,0.086,4.46301729176195E-101,4
RSL1D11,3.17612140129632E-106,0.961748952253253,0.34,0.116,1.51459701263617E-101,4
SMC4,2.27070825074348E-106,1.24461028695476,0.317,0.104,1.08283264353204E-101,4
ACTR3,1.53242114282051E-106,1.24614795299049,0.327,0.126,7.30765670376815E-102,3
DDR11,7.87327586861485E-107,1.08752399666498,0.309,0.093,3.75452906346636E-102,5
ANXA2,7.10925872323715E-107,0.893106180869266,0.333,0.106,3.3901922073501E-102,5
PRDM2,4.67999211342328E-107,1.56185025540875,0.264,0.089,2.23174783912816E-102,3
BASP1,4.08478705797276E-107,1.35252798650046,0.278,0.094,1.94791240433547E-102,3
FUBP1,2.34686000842464E-107,1.06435758257187,0.343,0.118,1.11914713221746E-102,4
SLU7,1.85154738038358E-107,1.09881280192818,0.31,0.1,8.82947399283518E-103,4
EIF3H,1.6797641501646E-107,1.34966314303397,0.31,0.114,8.01029130288991E-103,3
EGFR,1.22903588016045E-107,4.83925808007786,0.294,0.017,5.86090340172112E-103,9
JAK11,8.77053372823712E-108,0.948590496664235,0.356,0.123,4.18240441898444E-103,4
SMC2,7.69094899026108E-108,3.00804600339819,0.46,0.042,3.6675828449858E-103,8
EFHD2,6.51774222659111E-108,0.987454424601553,0.399,0.146,3.1081157355945E-103,5
SUB1,2.98225400348025E-108,1.78712636866902,0.253,0.082,1.42214746663963E-103,3
G3BP2,1.938434323564E-108,1.3415606913966,0.289,0.089,9.24381175877963E-104,4
RPS61,1.56844596547661E-108,0.485648818033678,0.922,0.507,7.4794482755683E-104,4
MT-RNR11,5.92754631829701E-109,0.407645577700238,0.996,0.981,2.8266690128063E-104,1
RPL341,5.48111202990809E-109,0.466954626805693,0.799,0.398,2.61377789370227E-104,4
